M.L_b.CO2aq Time [a],M.L_b.CO2aq CO2aq [mol/kg]
334900.0,8.636960663140901e-06
335000.0,8.636960663140896e-06
335100.0,8.6369606631409e-06
335200.0,8.636960663140896e-06
335300.0,8.6369606631409e-06
335400.0,8.6369606631409e-06
335500.0,8.6369606631409e-06
335600.0,8.6369606631409e-06
335700.0,8.6369606631409e-06
335800.0,8.636960663140901e-06
335900.0,8.636960663140896e-06
336000.0,8.6369606631409e-06
336100.0,8.636960663140894e-06
336200.0,8.636960663140896e-06
336300.0,8.6369606631409e-06
336400.0,8.636960663140896e-06
336500.0,8.636960663140898e-06
336600.0,8.636960663140901e-06
336700.0,8.636960663140898e-06
336800.0,8.636960663140898e-06
336900.0,8.636960663140903e-06
337000.0,8.6369606631409e-06
337100.0,8.636960663140898e-06
337200.0,8.636960663140901e-06
337300.0,8.6369606631409e-06
337400.0,8.636960663140903e-06
337500.0,8.636960663140898e-06
337600.0,8.636960663140898e-06
337700.0,8.636960663140896e-06
337800.0,8.636960663140901e-06
337900.0,8.636960663140896e-06
338000.0,8.636960663140898e-06
338100.0,8.636960663140901e-06
338200.0,8.636960663140898e-06
338300.0,8.636960663140901e-06
338400.0,8.636960663140898e-06
338500.0,8.6369606631409e-06
338600.0,8.636960663140903e-06
338700.0,8.636960663140903e-06
338800.0,8.6369606631409e-06
338900.0,8.636960663140901e-06
339000.0,8.636960663140898e-06
339100.0,8.636960663140896e-06
339200.0,8.636960663140901e-06
339300.0,8.636960663140898e-06
339400.0,8.6369606631409e-06
339500.0,8.636960663140896e-06
339600.0,8.636960663140903e-06
339700.0,8.636960663140898e-06
339800.0,8.636960663140901e-06
339900.0,8.6369606631409e-06
340000.0,8.636960663140901e-06
340100.0,8.636960663140898e-06
340200.0,8.636960663140903e-06
340300.0,8.636960663140898e-06
340400.0,8.636960663140901e-06
340500.0,8.6369606631409e-06
340600.0,8.6369606631409e-06
340700.0,8.636960663140898e-06
340800.0,8.6369606631409e-06
340900.0,8.636960663140896e-06
341000.0,8.636960663140898e-06
341100.0,8.636960663140896e-06
341200.0,8.636960663140898e-06
341300.0,8.636960663140901e-06
341400.0,8.636960663140903e-06
341500.0,8.6369606631409e-06
