M.D_b.pH Time [a],M.D_b.pH pH [mol/kg]
522500.0,7.912284890262849
522600.0,7.91228489026285
522700.0,7.912284890262849
522800.0,7.91228489026285
522900.0,7.912284890262849
523000.0,7.91228489026285
523100.0,7.912284890262849
523200.0,7.91228489026285
523300.0,7.912284890262849
523400.0,7.91228489026285
523500.0,7.912284890262849
523600.0,7.91228489026285
523700.0,7.912284890262849
523800.0,7.91228489026285
523900.0,7.912284890262849
524000.0,7.91228489026285
524100.0,7.912284890262849
524200.0,7.91228489026285
524300.0,7.912284890262849
524400.0,7.91228489026285
524500.0,7.912284890262849
524600.0,7.91228489026285
524700.0,7.912284890262849
524800.0,7.91228489026285
524900.0,7.912284890262849
525000.0,7.91228489026285
525100.0,7.912284890262849
525200.0,7.91228489026285
525300.0,7.91228489026285
525400.0,7.912284890262849
525500.0,7.91228489026285
525600.0,7.912284890262849
525700.0,7.91228489026285
525800.0,7.912284890262849
525900.0,7.91228489026285
526000.0,7.912284890262849
526100.0,7.91228489026285
526200.0,7.912284890262849
526300.0,7.91228489026285
526400.0,7.912284890262849
526500.0,7.91228489026285
526600.0,7.912284890262849
526700.0,7.91228489026285
526800.0,7.912284890262849
526900.0,7.91228489026285
527000.0,7.912284890262849
527100.0,7.91228489026285
527200.0,7.912284890262849
527300.0,7.91228489026285
527400.0,7.912284890262849
527500.0,7.91228489026285
527600.0,7.912284890262849
527700.0,7.91228489026285
527800.0,7.912284890262849
527900.0,7.91228489026285
528000.0,7.912284890262849
528100.0,7.91228489026285
528200.0,7.912284890262849
528300.0,7.91228489026285
528400.0,7.912284890262849
528500.0,7.91228489026285
528600.0,7.912284890262849
528700.0,7.91228489026285
528800.0,7.912284890262849
528900.0,7.91228489026285
529000.0,7.912284890262849
529100.0,7.91228489026285
529200.0,7.912284890262849
529300.0,7.91228489026285
529400.0,7.912284890262849
529500.0,7.91228489026285
529600.0,7.912284890262849
529700.0,7.91228489026285
529800.0,7.912284890262849
529900.0,7.91228489026285
530000.0,7.912284890262849
530100.0,7.91228489026285
530200.0,7.912284890262849
530300.0,7.91228489026285
530400.0,7.912284890262849
530500.0,7.91228489026285
530600.0,7.912284890262849
530700.0,7.91228489026285
530800.0,7.912284890262849
530900.0,7.91228489026285
531000.0,7.912284890262849
531100.0,7.91228489026285
531200.0,7.912284890262849
531300.0,7.91228489026285
531400.0,7.912284890262849
531500.0,7.91228489026285
531600.0,7.912284890262849
531700.0,7.91228489026285
531800.0,7.912284890262849
531900.0,7.91228489026285
532000.0,7.912284890262849
532100.0,7.91228489026285
532200.0,7.912284890262849
532300.0,7.91228489026285
532400.0,7.912284890262849
532500.0,7.91228489026285
532600.0,7.912284890262849
532700.0,7.91228489026285
532800.0,7.912284890262849
532900.0,7.91228489026285
533000.0,7.912284890262849
533100.0,7.91228489026285
533200.0,7.912284890262849
533300.0,7.91228489026285
533400.0,7.912284890262849
533500.0,7.91228489026285
533600.0,7.912284890262849
533700.0,7.91228489026285
533800.0,7.912284890262849
533900.0,7.91228489026285
534000.0,7.912284890262849
534100.0,7.91228489026285
534200.0,7.912284890262849
534300.0,7.91228489026285
534400.0,7.912284890262849
534500.0,7.91228489026285
534600.0,7.912284890262849
534700.0,7.91228489026285
534800.0,7.912284890262849
534900.0,7.91228489026285
535000.0,7.912284890262849
535100.0,7.91228489026285
535200.0,7.912284890262849
535300.0,7.91228489026285
535400.0,7.912284890262849
535500.0,7.91228489026285
535600.0,7.912284890262849
535700.0,7.91228489026285
535800.0,7.912284890262849
535900.0,7.91228489026285
536000.0,7.912284890262849
536100.0,7.91228489026285
536200.0,7.912284890262849
536300.0,7.91228489026285
536400.0,7.912284890262849
536500.0,7.91228489026285
536600.0,7.912284890262849
536700.0,7.91228489026285
536800.0,7.912284890262849
536900.0,7.91228489026285
537000.0,7.912284890262849
537100.0,7.91228489026285
537200.0,7.912284890262849
537300.0,7.91228489026285
537400.0,7.912284890262849
537500.0,7.91228489026285
537600.0,7.912284890262849
537700.0,7.91228489026285
537800.0,7.912284890262849
537900.0,7.91228489026285
538000.0,7.912284890262849
538100.0,7.91228489026285
538200.0,7.912284890262849
538300.0,7.91228489026285
538400.0,7.912284890262849
538500.0,7.91228489026285
538600.0,7.912284890262849
538700.0,7.91228489026285
538800.0,7.912284890262849
538900.0,7.91228489026285
539000.0,7.912284890262849
539100.0,7.91228489026285
539200.0,7.912284890262849
539300.0,7.91228489026285
539400.0,7.912284890262849
539500.0,7.91228489026285
539600.0,7.912284890262849
539700.0,7.91228489026285
539800.0,7.912284890262849
539900.0,7.91228489026285
540000.0,7.912284890262849
540100.0,7.91228489026285
540200.0,7.912284890262849
540300.0,7.91228489026285
540400.0,7.912284890262849
540500.0,7.91228489026285
540600.0,7.912284890262849
540700.0,7.91228489026285
540800.0,7.912284890262849
540900.0,7.91228489026285
541000.0,7.912284890262849
541100.0,7.91228489026285
541200.0,7.912284890262849
541300.0,7.91228489026285
541400.0,7.912284890262849
541500.0,7.91228489026285
541600.0,7.912284890262849
541700.0,7.91228489026285
541800.0,7.912284890262849
541900.0,7.91228489026285
542000.0,7.912284890262849
542100.0,7.91228489026285
542200.0,7.912284890262849
542300.0,7.91228489026285
542400.0,7.912284890262849
542500.0,7.91228489026285
542600.0,7.912284890262849
542700.0,7.91228489026285
542800.0,7.912284890262849
542900.0,7.91228489026285
543000.0,7.912284890262849
543100.0,7.91228489026285
543200.0,7.912284890262849
543300.0,7.91228489026285
543400.0,7.912284890262849
543500.0,7.91228489026285
543600.0,7.912284890262849
543700.0,7.91228489026285
543800.0,7.912284890262849
543900.0,7.91228489026285
544000.0,7.912284890262849
544100.0,7.91228489026285
544200.0,7.912284890262849
544300.0,7.91228489026285
544400.0,7.912284890262849
544500.0,7.91228489026285
544600.0,7.912284890262849
544700.0,7.91228489026285
544800.0,7.912284890262849
544900.0,7.912284890262849
545000.0,7.912284890262849
545100.0,7.91228489026285
545200.0,7.912284890262849
545300.0,7.91228489026285
545400.0,7.912284890262849
545500.0,7.91228489026285
545600.0,7.912284890262849
545700.0,7.91228489026285
545800.0,7.912284890262849
545900.0,7.91228489026285
546000.0,7.912284890262849
546100.0,7.91228489026285
546200.0,7.912284890262849
546300.0,7.91228489026285
546400.0,7.912284890262849
546500.0,7.91228489026285
546600.0,7.912284890262849
546700.0,7.91228489026285
546800.0,7.912284890262849
546900.0,7.91228489026285
547000.0,7.912284890262849
547100.0,7.91228489026285
547200.0,7.912284890262849
547300.0,7.91228489026285
547400.0,7.912284890262849
547500.0,7.91228489026285
547600.0,7.912284890262849
547700.0,7.91228489026285
547800.0,7.912284890262849
547900.0,7.91228489026285
548000.0,7.912284890262849
548100.0,7.91228489026285
548200.0,7.912284890262849
548300.0,7.91228489026285
548400.0,7.912284890262849
548500.0,7.91228489026285
548600.0,7.912284890262849
548700.0,7.91228489026285
548800.0,7.912284890262849
548900.0,7.91228489026285
549000.0,7.912284890262849
549100.0,7.91228489026285
549200.0,7.912284890262849
549300.0,7.91228489026285
549400.0,7.912284890262849
549500.0,7.91228489026285
549600.0,7.912284890262849
549700.0,7.91228489026285
549800.0,7.912284890262849
