M.L_b.Hplus Time [a],M.L_b.Hplus Hplus [mol/kg]
388500.0,5.395015419940609e-09
388510.0,5.395015419940609e-09
388520.0,5.395015419940609e-09
388530.0,5.395015419940609e-09
388540.0,5.395015419940609e-09
388550.0,5.395015419940609e-09
388560.0,5.395015419940609e-09
388570.0,5.395015419940609e-09
388580.0,5.395015419940609e-09
388590.0,5.395015419940609e-09
388600.0,5.395015419940609e-09
388610.0,5.395015419940609e-09
388620.0,5.395015419940609e-09
388630.0,5.395015419940609e-09
388640.0,5.395015419940609e-09
388650.0,5.395015419940609e-09
388660.0,5.395015419940609e-09
388670.0,5.395015419940609e-09
388680.0,5.395015419940609e-09
388690.0,5.395015419940609e-09
388700.0,5.395015419940609e-09
388710.0,5.395015419940609e-09
388720.0,5.395015419940609e-09
388730.0,5.395015419940609e-09
388740.0,5.395015419940609e-09
388750.0,5.395015419940609e-09
388760.0,5.395015419940609e-09
388770.0,5.395015419940609e-09
388780.0,5.395015419940609e-09
388790.0,5.395015419940609e-09
388800.0,5.395015419940609e-09
388810.0,5.395015419940609e-09
388820.0,5.395015419940609e-09
388830.0,5.395015419940609e-09
388840.0,5.395015419940609e-09
388850.0,5.395015419940609e-09
388860.0,5.395015419940609e-09
388870.0,5.395015419940609e-09
388880.0,5.395015419940609e-09
388890.0,5.395015419940609e-09
388900.0,5.395015419940609e-09
388910.0,5.395015419940609e-09
388920.0,5.395015419940609e-09
388930.0,5.395015419940609e-09
388940.0,5.395015419940609e-09
388950.0,5.395015419940609e-09
388960.0,5.395015419940609e-09
388970.0,5.395015419940609e-09
388980.0,5.395015419940609e-09
388990.0,5.395015419940609e-09
389000.0,5.395015419940609e-09
389010.0,5.395015419940609e-09
389020.0,5.395015419940609e-09
389030.0,5.395015419940609e-09
389040.0,5.395015419940609e-09
389050.0,5.395015419940609e-09
389060.0,5.395015419940609e-09
389070.0,5.395015419940609e-09
389080.0,5.395015419940609e-09
389090.0,5.395015419940609e-09
389100.0,5.395015419940609e-09
389110.0,5.395015419940609e-09
389120.0,5.395015419940609e-09
389130.0,5.395015419940609e-09
389140.0,5.395015419940609e-09
389150.0,5.395015419940609e-09
389160.0,5.395015419940609e-09
389170.0,5.395015419940609e-09
389180.0,5.395015419940609e-09
389190.0,5.395015419940609e-09
389200.0,5.395015419940609e-09
389210.0,5.395015419940609e-09
389220.0,5.395015419940609e-09
389230.0,5.395015419940609e-09
389240.0,5.395015419940609e-09
389250.0,5.395015419940609e-09
389260.0,5.395015419940609e-09
389270.0,5.395015419940609e-09
389280.0,5.395015419940609e-09
389290.0,5.395015419940609e-09
389300.0,5.395015419940609e-09
389310.0,5.395015419940609e-09
389320.0,5.395015419940609e-09
389330.0,5.395015419940609e-09
389340.0,5.395015419940609e-09
389350.0,5.395015419940609e-09
389360.0,5.395015419940609e-09
389370.0,5.395015419940609e-09
389380.0,5.395015419940609e-09
389390.0,5.395015419940609e-09
389400.0,5.395015419940609e-09
389410.0,5.395015419940609e-09
389420.0,5.395015419940609e-09
389430.0,5.395015419940609e-09
389440.0,5.395015419940609e-09
389450.0,5.395015419940609e-09
389460.0,5.395015419940609e-09
389470.0,5.395015419940609e-09
389480.0,5.395015419940609e-09
389490.0,5.395015419940609e-09
389500.0,5.395015419940609e-09
389510.0,5.395015419940609e-09
389520.0,5.395015419940609e-09
389530.0,5.395015419940609e-09
389540.0,5.395015419940609e-09
389550.0,5.395015419940609e-09
389560.0,5.395015419940609e-09
389570.0,5.395015419940609e-09
389580.0,5.395015419940609e-09
389590.0,5.395015419940609e-09
389600.0,5.395015419940609e-09
389610.0,5.395015419940609e-09
389620.0,5.395015419940609e-09
389630.0,5.395015419940609e-09
389640.0,5.395015419940609e-09
389650.0,5.395015419940609e-09
389660.0,5.395015419940609e-09
389670.0,5.395015419940609e-09
389680.0,5.395015419940609e-09
389690.0,5.395015419940609e-09
389700.0,5.395015419940609e-09
389710.0,5.395015419940609e-09
389720.0,5.395015419940609e-09
389730.0,5.395015419940609e-09
389740.0,5.395015419940609e-09
389750.0,5.395015419940609e-09
389760.0,5.395015419940609e-09
389770.0,5.395015419940609e-09
389780.0,5.395015419940609e-09
389790.0,5.395015419940609e-09
389800.0,5.395015419940609e-09
389810.0,5.395015419940609e-09
389820.0,5.395015419940609e-09
389830.0,5.395015419940609e-09
389840.0,5.395015419940609e-09
389850.0,5.395015419940609e-09
389860.0,5.395015419940609e-09
389870.0,5.395015419940609e-09
389880.0,5.395015419940609e-09
389890.0,5.395015419940609e-09
