M.D_b.CO3 Time [a],M.D_b.CO3 CO3 [mol/kg]
377700.0,8.739742102613795e-05
377800.0,8.739742102613791e-05
377900.0,8.739742102613777e-05
378000.0,8.739742102613795e-05
378100.0,8.739742102613791e-05
378200.0,8.739742102613779e-05
378300.0,8.739742102613793e-05
378400.0,8.739742102613791e-05
378500.0,8.739742102613777e-05
378600.0,8.739742102613798e-05
378700.0,8.739742102613791e-05
378800.0,8.739742102613779e-05
378900.0,8.739742102613799e-05
379000.0,8.739742102613791e-05
379100.0,8.739742102613774e-05
379200.0,8.739742102613795e-05
379300.0,8.739742102613791e-05
379400.0,8.739742102613779e-05
379500.0,8.739742102613796e-05
379600.0,8.739742102613791e-05
379700.0,8.739742102613779e-05
379800.0,8.739742102613795e-05
379900.0,8.739742102613791e-05
380000.0,8.739742102613777e-05
380100.0,8.739742102613796e-05
380200.0,8.739742102613791e-05
380300.0,8.739742102613777e-05
380400.0,8.739742102613795e-05
380500.0,8.739742102613791e-05
380600.0,8.739742102613777e-05
380700.0,8.739742102613798e-05
380800.0,8.73974210261379e-05
380900.0,8.739742102613779e-05
381000.0,8.739742102613796e-05
381100.0,8.739742102613791e-05
381200.0,8.739742102613779e-05
381300.0,8.739742102613798e-05
381400.0,8.73974210261379e-05
381500.0,8.739742102613777e-05
381600.0,8.739742102613795e-05
381700.0,8.73974210261379e-05
381800.0,8.739742102613781e-05
381900.0,8.739742102613795e-05
382000.0,8.73974210261379e-05
382100.0,8.739742102613777e-05
382200.0,8.739742102613798e-05
382300.0,8.73974210261379e-05
382400.0,8.739742102613777e-05
382500.0,8.739742102613795e-05
382600.0,8.73974210261379e-05
382700.0,8.739742102613781e-05
382800.0,8.739742102613773e-05
382900.0,8.739742102613793e-05
383000.0,8.739742102613791e-05
383100.0,8.739742102613781e-05
383200.0,8.739742102613796e-05
383300.0,8.73974210261379e-05
383400.0,8.739742102613777e-05
383500.0,8.739742102613793e-05
383600.0,8.739742102613791e-05
383700.0,8.739742102613777e-05
383800.0,8.739742102613798e-05
383900.0,8.739742102613791e-05
384000.0,8.739742102613776e-05
384100.0,8.739742102613798e-05
384200.0,8.739742102613791e-05
384300.0,8.739742102613777e-05
384400.0,8.739742102613798e-05
384500.0,8.739742102613791e-05
384600.0,8.739742102613777e-05
384700.0,8.739742102613796e-05
384800.0,8.73974210261379e-05
384900.0,8.739742102613777e-05
385000.0,8.739742102613799e-05
385100.0,8.73974210261379e-05
385200.0,8.739742102613777e-05
385300.0,8.739742102613798e-05
385400.0,8.73974210261379e-05
385500.0,8.739742102613777e-05
385600.0,8.739742102613796e-05
385700.0,8.739742102613791e-05
385800.0,8.739742102613779e-05
385900.0,8.739742102613798e-05
386000.0,8.73974210261379e-05
386100.0,8.739742102613777e-05
386200.0,8.739742102613795e-05
386300.0,8.73974210261379e-05
386400.0,8.739742102613781e-05
386500.0,8.739742102613796e-05
386600.0,8.739742102613788e-05
386700.0,8.739742102613777e-05
386800.0,8.739742102613796e-05
386900.0,8.739742102613791e-05
387000.0,8.739742102613779e-05
387100.0,8.739742102613796e-05
387200.0,8.739742102613791e-05
387300.0,8.739742102613779e-05
387400.0,8.739742102613796e-05
387500.0,8.739742102613791e-05
387600.0,8.739742102613779e-05
387700.0,8.739742102613796e-05
387800.0,8.73974210261379e-05
387900.0,8.739742102613777e-05
388000.0,8.739742102613795e-05
388100.0,8.73974210261379e-05
388200.0,8.739742102613777e-05
388300.0,8.739742102613798e-05
388400.0,8.73974210261379e-05
388500.0,8.739742102613777e-05
388600.0,8.739742102613796e-05
388700.0,8.739742102613791e-05
388800.0,8.739742102613779e-05
388900.0,8.739742102613795e-05
389000.0,8.739742102613791e-05
389100.0,8.739742102613777e-05
389200.0,8.739742102613798e-05
389300.0,8.73974210261379e-05
389400.0,8.739742102613779e-05
389500.0,8.739742102613795e-05
389600.0,8.739742102613791e-05
389700.0,8.739742102613777e-05
389800.0,8.739742102613795e-05
389900.0,8.739742102613791e-05
390000.0,8.739742102613779e-05
390100.0,8.739742102613793e-05
390200.0,8.739742102613791e-05
390300.0,8.739742102613779e-05
390400.0,8.739742102613798e-05
390500.0,8.739742102613791e-05
390600.0,8.739742102613779e-05
390700.0,8.739742102613793e-05
390800.0,8.739742102613791e-05
390900.0,8.739742102613777e-05
391000.0,8.739742102613796e-05
391100.0,8.739742102613791e-05
391200.0,8.739742102613777e-05
391300.0,8.739742102613795e-05
391400.0,8.739742102613791e-05
391500.0,8.739742102613781e-05
391600.0,8.739742102613793e-05
391700.0,8.739742102613791e-05
391800.0,8.739742102613779e-05
391900.0,8.739742102613796e-05
392000.0,8.739742102613791e-05
