M.D_b.zsat Time [a],M.D_b.zsat zsat [mol/kg]
149800.0,3755
149900.0,3755
150000.0,3755
150100.0,3755
150200.0,3755
150300.0,3755
150400.0,3755
150500.0,3755
150600.0,3755
150700.0,3755
150800.0,3755
150900.0,3755
151000.0,3755
151100.0,3755
151200.0,3755
151300.0,3755
151400.0,3755
151500.0,3755
151600.0,3755
151700.0,3755
151800.0,3755
151900.0,3755
152000.0,3755
152100.0,3755
152200.0,3755
152300.0,3755
152400.0,3755
152500.0,3755
152600.0,3755
152700.0,3755
152800.0,3755
152900.0,3755
153000.0,3755
153100.0,3755
153200.0,3755
153300.0,3755
153400.0,3755
153500.0,3755
153600.0,3755
153700.0,3755
153800.0,3755
153900.0,3755
154000.0,3755
154100.0,3755
154200.0,3755
154300.0,3755
154400.0,3755
154500.0,3755
154600.0,3755
154700.0,3755
154800.0,3755
154900.0,3755
155000.0,3755
155100.0,3755
155200.0,3755
155300.0,3755
155400.0,3755
155500.0,3755
155600.0,3755
155700.0,3755
155800.0,3755
155900.0,3755
156000.0,3755
156100.0,3755
156200.0,3755
156300.0,3755
156400.0,3755
156500.0,3755
156600.0,3755
156700.0,3755
156800.0,3755
156900.0,3755
157000.0,3755
157100.0,3755
157200.0,3755
157300.0,3755
157400.0,3755
157500.0,3755
157600.0,3755
157700.0,3755
157800.0,3755
157900.0,3755
158000.0,3755
158100.0,3755
158200.0,3755
158300.0,3755
158400.0,3755
158500.0,3755
158600.0,3755
158700.0,3755
158800.0,3755
158900.0,3755
159000.0,3755
159100.0,3755
159200.0,3755
159300.0,3755
159400.0,3755
159500.0,3755
159600.0,3755
159700.0,3755
159800.0,3755
159900.0,3755
160000.0,3755
160100.0,3755
160200.0,3755
160300.0,3755
160400.0,3755
160500.0,3755
160600.0,3755
160700.0,3755
160800.0,3755
160900.0,3755
161000.0,3755
161100.0,3755
161200.0,3755
161300.0,3755
161400.0,3755
161500.0,3755
161600.0,3755
161700.0,3755
161800.0,3755
161900.0,3755
162000.0,3755
162100.0,3755
162200.0,3755
162300.0,3755
162400.0,3755
162500.0,3755
162600.0,3755
162700.0,3755
162800.0,3755
162900.0,3755
163000.0,3755
163100.0,3755
163200.0,3755
163300.0,3755
163400.0,3755
163500.0,3755
163600.0,3755
163700.0,3755
163800.0,3755
163900.0,3755
164000.0,3755
164100.0,3755
164200.0,3755
164300.0,3755
164400.0,3755
164500.0,3755
164600.0,3755
164700.0,3755
164800.0,3755
164900.0,3755
165000.0,3755
165100.0,3755
165200.0,3755
165300.0,3755
165400.0,3755
165500.0,3755
165600.0,3755
165700.0,3755
165800.0,3755
165900.0,3755
166000.0,3755
166100.0,3755
166200.0,3755
166300.0,3755
166400.0,3755
166500.0,3755
166600.0,3755
166700.0,3755
166800.0,3755
166900.0,3755
167000.0,3755
167100.0,3755
167200.0,3755
167300.0,3755
167400.0,3755
167500.0,3755
167600.0,3755
167700.0,3755
167800.0,3755
167900.0,3755
168000.0,3755
168100.0,3755
168200.0,3755
168300.0,3755
168400.0,3755
168500.0,3755
168600.0,3755
168700.0,3755
168800.0,3755
168900.0,3755
169000.0,3755
169100.0,3755
169200.0,3755
169300.0,3755
169400.0,3755
169500.0,3755
169600.0,3755
169700.0,3755
169800.0,3755
169900.0,3755
170000.0,3755
170100.0,3755
170200.0,3755
170300.0,3755
170400.0,3755
170500.0,3755
170600.0,3755
170700.0,3755
170800.0,3755
170900.0,3755
171000.0,3755
171100.0,3755
171200.0,3755
171300.0,3755
171400.0,3755
171500.0,3755
171600.0,3755
171700.0,3755
171800.0,3755
171900.0,3755
172000.0,3755
172100.0,3755
172200.0,3755
172300.0,3755
172400.0,3755
172500.0,3755
172600.0,3755
172700.0,3755
172800.0,3755
