M.L_b.pH Time [a],M.L_b.pH pH [mol/kg]
508200.0,8.268006973781965
508300.0,8.268006973781965
508400.0,8.268006973781965
508500.0,8.268006973781965
508600.0,8.268006973781965
508700.0,8.268006973781965
508800.0,8.268006973781965
508900.0,8.268006973781965
509000.0,8.268006973781965
509100.0,8.268006973781965
509200.0,8.268006973781965
509300.0,8.268006973781965
509400.0,8.268006973781965
509500.0,8.268006973781965
509600.0,8.268006973781965
509700.0,8.268006973781965
509800.0,8.268006973781965
509900.0,8.268006973781965
510000.0,8.268006973781965
510100.0,8.268006973781965
510200.0,8.268006973781965
510300.0,8.268006973781965
510400.0,8.268006973781965
510500.0,8.268006973781965
510600.0,8.268006973781965
510700.0,8.268006973781965
510800.0,8.268006973781965
510900.0,8.268006973781965
511000.0,8.268006973781965
511100.0,8.268006973781965
511200.0,8.268006973781965
511300.0,8.268006973781965
511400.0,8.268006973781965
511500.0,8.268006973781965
511600.0,8.268006973781965
511700.0,8.268006973781965
511800.0,8.268006973781965
511900.0,8.268006973781965
512000.0,8.268006973781965
512100.0,8.268006973781965
512200.0,8.268006973781965
512300.0,8.268006973781965
512400.0,8.268006973781965
512500.0,8.268006973781965
512600.0,8.268006973781965
512700.0,8.268006973781965
512800.0,8.268006973781965
512900.0,8.268006973781965
513000.0,8.268006973781965
513100.0,8.268006973781965
513200.0,8.268006973781965
513300.0,8.268006973781965
513400.0,8.268006973781965
513500.0,8.268006973781965
513600.0,8.268006973781965
513700.0,8.268006973781965
513800.0,8.268006973781965
513900.0,8.268006973781965
514000.0,8.268006973781965
514100.0,8.268006973781965
514200.0,8.268006973781965
514300.0,8.268006973781965
514400.0,8.268006973781965
514500.0,8.268006973781965
514600.0,8.268006973781965
514700.0,8.268006973781965
514800.0,8.268006973781965
514900.0,8.268006973781965
515000.0,8.268006973781965
515100.0,8.268006973781965
515200.0,8.268006973781965
515300.0,8.268006973781965
515400.0,8.268006973781965
515500.0,8.268006973781965
515600.0,8.268006973781965
