M.H_b.Hplus Time [a],M.H_b.Hplus Hplus [mol/kg]
897000.0,5.871706942638788e-09
898000.0,5.871706942638785e-09
899000.0,5.871706942638786e-09
900000.0,5.871706942638782e-09
901000.0,5.871706942638784e-09
902000.0,5.8717069426387845e-09
903000.0,5.8717069426387845e-09
904000.0,5.871706942638789e-09
905000.0,5.871706942638781e-09
906000.0,5.871706942638786e-09
907000.0,5.871706942638784e-09
908000.0,5.871706942638785e-09
909000.0,5.871706942638784e-09
910000.0,5.871706942638784e-09
911000.0,5.871706942638786e-09
912000.0,5.871706942638786e-09
913000.0,5.871706942638783e-09
914000.0,5.871706942638788e-09
915000.0,5.871706942638785e-09
916000.0,5.871706942638785e-09
917000.0,5.871706942638786e-09
918000.0,5.871706942638789e-09
919000.0,5.8717069426387845e-09
920000.0,5.871706942638786e-09
921000.0,5.871706942638789e-09
922000.0,5.871706942638783e-09
923000.0,5.871706942638787e-09
924000.0,5.871706942638784e-09
925000.0,5.871706942638789e-09
926000.0,5.871706942638784e-09
927000.0,5.8717069426387845e-09
928000.0,5.8717069426387845e-09
929000.0,5.8717069426387845e-09
930000.0,5.871706942638787e-09
931000.0,5.8717069426387845e-09
932000.0,5.871706942638787e-09
933000.0,5.871706942638787e-09
934000.0,5.871706942638784e-09
935000.0,5.871706942638781e-09
936000.0,5.871706942638785e-09
937000.0,5.871706942638786e-09
938000.0,5.8717069426387845e-09
939000.0,5.871706942638782e-09
940000.0,5.871706942638785e-09
941000.0,5.871706942638785e-09
942000.0,5.871706942638788e-09
943000.0,5.871706942638782e-09
