M.D_b.CO2aq Time [a],M.D_b.CO2aq CO2aq [mol/kg]
880500.0,2.7666576776944808e-05
880600.0,2.7666576776944814e-05
880700.0,2.7666576776944818e-05
880800.0,2.7666576776944825e-05
880900.0,2.7666576776944825e-05
881000.0,2.7666576776944828e-05
881100.0,2.7666576776944835e-05
881200.0,2.7666576776944838e-05
881300.0,2.7666576776944845e-05
881400.0,2.766657677694485e-05
881500.0,2.7666576776944855e-05
881600.0,2.7666576776944862e-05
881700.0,2.7666576776944865e-05
881800.0,2.7666576776944872e-05
881900.0,2.7666576776944872e-05
882000.0,2.7666576776944875e-05
882100.0,2.7666576776944882e-05
882200.0,2.7666576776944882e-05
882300.0,2.7666576776944886e-05
882400.0,2.7666576776944892e-05
882500.0,2.7666576776944896e-05
882600.0,2.7666576776944902e-05
882700.0,2.766657677694491e-05
882800.0,2.7666576776944913e-05
882900.0,2.766657677694492e-05
883000.0,2.766657677694492e-05
883100.0,2.7666576776944923e-05
883200.0,2.766657677694493e-05
883300.0,2.7666576776944933e-05
883400.0,2.766657677694494e-05
883500.0,2.766657677694494e-05
883600.0,2.766657677694494e-05
883700.0,2.7666576776944943e-05
883800.0,2.766657677694495e-05
883900.0,2.7666576776944953e-05
884000.0,2.766657677694496e-05
884100.0,2.7666576776944967e-05
884200.0,2.766657677694497e-05
884300.0,2.7666576776944977e-05
884400.0,2.7666576776944977e-05
884500.0,2.7666576776944977e-05
884600.0,2.766657677694498e-05
884700.0,2.7666576776944987e-05
884800.0,2.766657677694499e-05
884900.0,2.7666576776944997e-05
885000.0,2.7666576776945e-05
885100.0,2.7666576776945008e-05
885200.0,2.766657677694501e-05
885300.0,2.7666576776945018e-05
885400.0,2.766657677694502e-05
885500.0,2.7666576776945028e-05
885600.0,2.7666576776945035e-05
885700.0,2.7666576776945038e-05
885800.0,2.7666576776945045e-05
885900.0,2.7666576776945048e-05
886000.0,2.7666576776945055e-05
886100.0,2.766657677694506e-05
886200.0,2.7666576776945065e-05
886300.0,2.7666576776945065e-05
886400.0,2.766657677694507e-05
886500.0,2.7666576776945075e-05
886600.0,2.766657677694508e-05
886700.0,2.766657677694508e-05
886800.0,2.7666576776945085e-05
886900.0,2.7666576776945092e-05
887000.0,2.7666576776945096e-05
887100.0,2.7666576776945102e-05
887200.0,2.7666576776945106e-05
887300.0,2.7666576776945113e-05
887400.0,2.7666576776945116e-05
887500.0,2.7666576776945123e-05
887600.0,2.7666576776945126e-05
887700.0,2.7666576776945133e-05
887800.0,2.7666576776945136e-05
887900.0,2.7666576776945136e-05
888000.0,2.7666576776945143e-05
888100.0,2.766657677694515e-05
888200.0,2.7666576776945153e-05
888300.0,2.766657677694516e-05
888400.0,2.766657677694516e-05
888500.0,2.7666576776945163e-05
888600.0,2.766657677694517e-05
888700.0,2.7666576776945174e-05
