M.D_b.zcc Time [a],M.D_b.zcc zcc [mol/kg]
232900.0,4812
233000.0,4812
233100.0,4812
233200.0,4812
233300.0,4812
233400.0,4812
233500.0,4812
233600.0,4812
233700.0,4812
233800.0,4812
233900.0,4812
234000.0,4812
234100.0,4812
234200.0,4812
234300.0,4812
234400.0,4812
234500.0,4812
234600.0,4812
234700.0,4812
234800.0,4812
234900.0,4812
235000.0,4812
235100.0,4812
235200.0,4812
235300.0,4812
235400.0,4812
235500.0,4812
235600.0,4812
235700.0,4812
235800.0,4812
235900.0,4812
236000.0,4812
236100.0,4812
236200.0,4812
236300.0,4812
236400.0,4812
236500.0,4812
236600.0,4812
236700.0,4812
236800.0,4812
236900.0,4812
237000.0,4812
237100.0,4812
237200.0,4812
237300.0,4812
237400.0,4812
237500.0,4812
237600.0,4812
237700.0,4812
237800.0,4812
237900.0,4812
238000.0,4812
238100.0,4812
238200.0,4812
238300.0,4812
238400.0,4812
238500.0,4812
238600.0,4812
238700.0,4812
238800.0,4812
238900.0,4812
239000.0,4812
239100.0,4812
239200.0,4812
239300.0,4812
239400.0,4812
239500.0,4812
239600.0,4812
239700.0,4812
239800.0,4812
239900.0,4812
240000.0,4812
240100.0,4812
240200.0,4812
240300.0,4812
240400.0,4812
240500.0,4812
240600.0,4812
240700.0,4812
240800.0,4812
240900.0,4812
241000.0,4812
241100.0,4812
241200.0,4812
241300.0,4812
241400.0,4812
241500.0,4812
241600.0,4812
241700.0,4812
241800.0,4812
241900.0,4812
242000.0,4812
242100.0,4812
242200.0,4812
242300.0,4812
242400.0,4812
242500.0,4812
242600.0,4812
242700.0,4812
242800.0,4812
242900.0,4812
243000.0,4812
243100.0,4812
243200.0,4812
243300.0,4812
243400.0,4812
243500.0,4812
243600.0,4812
243700.0,4812
243800.0,4812
243900.0,4812
244000.0,4812
244100.0,4812
244200.0,4812
244300.0,4812
244400.0,4812
244500.0,4812
244600.0,4812
244700.0,4812
244800.0,4812
244900.0,4812
245000.0,4812
245100.0,4812
245200.0,4812
245300.0,4812
245400.0,4812
245500.0,4812
245600.0,4812
245700.0,4812
245800.0,4812
245900.0,4812
246000.0,4812
246100.0,4812
246200.0,4812
246300.0,4812
246400.0,4812
246500.0,4812
